target_key,gap,gap_rho,gap_eligible
1003582,0.0,0.95,True
1003583,0.0,0.8,True
1003808,0.0,0.95,True
1014859,0.0,0.75,True
1016663,0.0,0.95,True
1022353,0.0,0.8,True
1030164,0.0,0.75,True
1032898,0.0,0.9,True
103528,1.0,0.95,True
104978,0.0,0.95,True
1056699,0.0,0.85,True
1057843,0.0,0.85,True
1085503,0.0,0.9,True
10956,0.0,0.8,True
110614,0.0,0.95,True
1117259,0.0,0.8,True
1118624,0.0,0.9,True
1140403,0.05,0.85,True
1146607,0.0,0.9,True
1165631,0.0,0.8,True
1180105,0.0,0.95,True
1180121,0.0,0.8,True
1192195,0.0,0.75,True
1202712,0.1,0.8,True
1202713,0.1,0.8,True
1202714,0.1,0.8,True
1203961,0.0,0.95,True
1206290,0.0,0.85,True
1207361,0.0,0.8,True
1213220,0.0,0.95,True
1222235,0.0,0.8,True
1223420,0.35714285714285715,0.8,True
1223421,0.35714285714285715,0.8,True
1223422,0.35714285714285715,0.8,True
1223423,0.35714285714285715,0.8,True
1223424,0.35714285714285715,0.8,True
1223425,0.35714285714285715,0.8,True
1225029,0.05,0.75,True
122728,0.0,0.75,True
1249362,0.15,0.8,True
1249363,0.15,0.8,True
1249364,0.15,0.8,True
1249365,0.15,0.8,True
1249920,0.0,0.75,True
1251752,0.0,0.8,True
1259497,0.05,0.8,True
1272890,0.0,0.85,True
1283737,0.0,0.95,True
1288919,0.05,0.85,True
1289558,0.0625,0.75,True
1289559,0.0625,0.75,True
1292419,0.0,0.9,True
1297664,0.0,0.8,True
13046,0.0,0.75,True
1305830,1.0,0.95,True
1305831,1.0,0.95,True
1305832,1.0,0.95,True
1305833,1.0,0.95,True
1307804,0.0,0.8,True
1307811,0.0,0.95,True
1336640,0.0,0.95,True
1340076,0.0,0.8,True
1346306,0.0,0.8,True
1348054,0.0,0.95,True
1357592,0.0,0.8,True
1362626,0.0,0.75,True
1363778,0.1,0.7,True
1364500,0.0,0.95,True
1366262,0.0,0.75,True
1388910,0.0,0.85,True
1390922,0.0,0.8,True
1394968,0.0,0.95,True
1397707,0.0,0.95,True
13998,0.0,0.75,True
1401026,0.0,0.85,True
1401999,0.0,0.95,True
1407469,0.0,0.95,True
1408084,0.0,0.75,True
1409534,0.1,0.95,True
1409535,0.1,0.95,True
1409536,0.1,0.95,True
1416437,0.15,0.95,True
1416438,0.15,0.95,True
1416439,0.15,0.95,True
1416440,0.15,0.95,True
1425545,0.0,0.8,True
1425603,0.0,0.8,True
1436355,0.1,0.75,True
1438772,0.0,0.7,True
1446356,0.0,0.7,True
1447370,0.0,0.95,True
1449028,0.0,0.7,True
1454544,0.0,0.85,True
1455040,0.0,0.75,True
1459024,0.0,0.95,True
1460182,0.0,0.95,True
1464242,0.0,0.8,True
1466594,0.0,0.75,True
1467376,0.0,0.8,True
1468148,0.0,0.95,True
1468996,0.0,0.75,True
1473125,0.0,0.85,True
1482020,0.0,0.95,True
1485443,0.0,0.95,True
1493515,0.0,0.95,True
1507294,0.0,0.75,True
1509169,0.0,0.8,True
1511830,0.0,0.8,True
1515801,0.0,0.85,True
152398,0.0,0.75,True
152403,0.05,0.8,True
152404,0.05,0.8,True
1537651,0.0,0.85,True
1541610,0.0,0.8,True
1547297,0.0,0.8,True
1556437,0.0,0.7,True
1570040,0.0,0.8,True
1573571,0.0,0.8,True
1579959,0.0,0.85,True
1580390,0.0,0.8,True
15805,0.0,0.7,True
1581906,0.0,0.8,True
1585747,0.0,0.75,True
1587871,0.0,0.75,True
1592930,0.0,0.8,True
1596743,0.058823529411764705,0.95,True
1596744,0.058823529411764705,0.95,True
1608927,0.0,0.8,True
