target_key,gap,gap_rho,gap_eligible
cf-0,0.2,0.95,True
cf-1007,0.0,0.95,True
cf-1008,0.0,0.95,True
cf-101,0.0,0.95,True
cf-1010,0.0,0.95,True
cf-1013,0.0,0.95,True
cf-1014,0.0,0.8,True
cf-102,0.0,0.85,True
cf-1020,0.0,0.7,True
cf-1030,0.0,0.95,True
cf-104,0.0,0.95,True
cf-1043,0.0,0.95,True
cf-1044,0.0,0.95,True
cf-1048,0.0,0.75,True
cf-1054,0.0,0.95,True
cf-1058,0.0,0.95,True
cf-1059,0.0,0.7,True
cf-1061,0.0,0.95,True
cf-1075,0.0,0.75,True
cf-1082,0.0,0.95,True
cf-1084,0.0,0.75,True
cf-1087,0.0,0.75,True
cf-109,1.0,0.95,True
cf-1095,0.0,0.95,True
cf-1101,0.0,0.95,True
cf-1103,1.0,0.95,True
cf-1113,0.0,0.95,True
cf-1124,0.0,0.95,True
cf-1132,1.0,0.95,True
cf-1133,0.0,0.8,True
cf-1139,0.0,0.95,True
cf-1142,0.0,0.95,True
cf-1143,0.0,0.75,True
cf-1144,0.0,0.7,True
cf-1145,0.0,0.7,True
cf-1148,0.0,0.95,True
cf-1150,1.0,0.95,True
cf-1151,0.0,0.95,True
cf-1152,1.0,0.95,True
cf-1165,0.0,0.95,True
cf-1166,0.0,0.95,True
cf-1182,0.0,0.75,True
cf-1184,0.0,0.95,True
cf-1187,0.0,0.95,True
cf-119,0.0,0.7,True
cf-1193,0.0,0.7,True
cf-1194,0.0,0.95,True
cf-1196,0.0,0.95,True
cf-1204,0.0,0.95,True
cf-1208,0.0,0.95,True
cf-1217,0.0,0.7,True
cf-1222,0.0,0.95,True
cf-1223,0.0,0.75,True
cf-1224,0.0,0.95,True
cf-1227,0.0,0.95,True
cf-1229,0.0,0.85,True
cf-1238,0.0,0.7,True
cf-1244,1.0,0.95,True
cf-125,0.0,0.95,True
cf-1250,0.0,0.7,True
cf-1255,1.0,0.95,True
cf-1262,0.0,0.75,True
cf-1263,0.0,0.8,True
cf-1267,0.0,0.95,True
cf-1270,0.0,0.7,True
cf-1271,0.0,0.95,True
cf-1275,0.0,0.95,True
cf-1277,1.0,0.95,True
cf-1278,0.0,0.95,True
cf-1281,0.0,0.95,True
cf-1285,0.0,0.95,True
cf-1286,0.0,0.95,True
cf-1287,0.0,0.95,True
cf-1293,0.0,0.9,True
cf-1294,0.0,0.95,True
cf-1297,0.0,0.7,True
cf-1298,0.0,0.75,True
cf-1300,0.0,0.85,True
cf-1302,0.0,0.7,True
cf-1305,0.0,0.95,True
cf-1308,0.2,0.95,True
cf-1311,0.0,0.75,True
cf-1312,0.0,0.95,True
cf-1315,0.0,0.95,True
cf-132,0.0,0.7,True
cf-1321,0.0,0.95,True
cf-1324,0.0,0.95,True
cf-1340,0.0,0.75,True
cf-1345,0.0,0.7,True
cf-1358,0.0,0.8,True
cf-1361,0.0,0.95,True
cf-1363,0.0,0.8,True
cf-1367,0.0,0.8,True
cf-137,1.0,0.95,True
cf-1373,0.0,0.9,True
cf-1375,0.0,0.95,True
cf-1380,0.0,0.95,True
cf-1381,1.0,0.95,True
cf-1382,0.0,0.95,True
cf-1384,0.0,0.95,True
cf-1385,0.0,0.85,True
cf-139,1.0,0.95,True
cf-1390,0.0,0.95,True
cf-1393,0.0,0.95,True
