fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
0004a59e-08f5-4597-a4f5-3f1d2620944e,Antarctica,0,1,1,1.0,Antarctica,False,0.0
002ccc7a-39c7-4225-826c-041d5f5ae344,Antarctica,4,1,1,1.0,Antarctica,False,0.0
009b44ff-878e-4bd6-bf2b-bd1396ece39e,Chinese,4,1,1,0.0,French,False,0.0
00b80c73-0bea-4a75-a2ba-846101b7b30a,Nottingham,2,1,1,0.0,French,False,0.0
015ae7aa-a1f3-471d-aae0-836275735683,Catalan,2,1,1,0.0,Malagasy,False,0.0
01ce6a94-1c4f-4664-8ef4-07d5dee525d9,defensive midfielder,1,1,1,1.0,midfielder,False,0.0
0255884b-7e4c-4103-a55c-30fb9b198ab9,Libya,0,1,1,0.0,BBC,False,0.0
02ed2027-16fc-41bb-ace4-6af660f5482c,ESPN,3,1,1,0.0,NBC,False,0.0
03161dc0-3d38-4457-ab4f-618bdd21fb2c,Antarctica,2,1,1,1.0,Antarctica,False,0.0
03ae08dd-26a4-43ce-a289-4f95021df1b7,Siemens AG,2,1,1,0.0,Microsoft,False,0.0
04011add-c9a6-48f4-9b83-c98b4521d425,Nottingham,0,1,1,0.0,Dublin,False,0.0
04ccefe0-50e6-41ec-8e3d-3c43a7e51e82,hunting,1,1,1,0.0,Italian,False,0.0
04ddde5e-7b37-4e26-b4e1-f9abd2cdb30e,English,0,1,1,1.0,English,False,0.0
05c96e03-d471-4074-b219-212ace5e466e,Helsinki,3,1,1,0.0,English,False,0.0
062ebb5b-1a6f-4e7c-8283-daa9b579efa7,Bremen,3,1,1,0.0,Bordeaux,False,0.0
08422523-29ad-4868-9096-4ef4d2f08768,Bratislava,2,1,1,0.0,Russia,False,0.0
088164db-617f-4fca-bd3f-4cc54a82da13,screenwriter,1,1,1,0.0,English,False,0.0
09d8adc3-fbd5-42e2-80d5-5fc4ae3cf978,Paris,1,1,1,0.0,French,False,0.0
0a98b831-9122-422a-8d15-324619e90aa3,Swedish,1,1,1,0.0,English,False,1.0
0bfcf9bf-2c3e-4cea-a452-89d7fed81720,French,3,1,1,1.0,French,False,0.0
0d14af5e-a808-478f-b3e7-06ef63c102bf,Saint Andrew,4,1,1,0.0,Russian,False,0.0
0de1fcb6-4d81-436c-860a-1614596f1d39,Welsh,2,1,1,0.0,English,False,0.0
0e95a2f8-d17f-4a0c-89a4-13c93950ce39,"Perth, Western Australia",1,1,1,0.0,Birmingham,False,0.0
0eeec9c6-6170-456d-8ccc-95d0aed5990d,actress,4,1,1,0.0,French,False,0.0
0fbcaf93-3804-47e2-b373-e73c2edc6afd,BBC,0,1,1,1.0,BBC,False,0.0
1032b5fe-8a31-442a-bae4-806521db9ccc,Nissan Motors,0,1,1,0.0,Nokia,False,1.0
10beb965-2564-45ac-b577-27c7906133ff,mayor,2,1,1,0.0,Archbishop,False,0.0
10cd791d-57f3-42c9-8dee-20a08556af42,Oxfordshire,4,1,1,0.0,"Perth, Western Australia",False,0.0
1128c9e5-0faf-453a-bba1-3e546a781b6c,Bangkok,0,1,1,0.0,Beirut,False,0.0
1141188b-9990-451c-b71d-f4e0fdae0ede,guitar,0,1,1,0.0,Italian,False,0.0
12c69ca8-9f05-4c83-9f53-e5ef30436c73,French,3,1,1,1.0,French,False,1.0
130c8b2e-92ff-45c5-a57a-6276297fc058,Wellington,0,1,1,0.0,Karachi,False,0.0
134e31cd-dd20-4e07-be46-fe13062bb01e,Microsoft,1,1,1,0.0,Apple Inc.,False,0.0
1411716a-c40c-4b3c-a3aa-d83788826fcf,Bonn,3,1,1,0.0,Fairchild,False,0.0
145f9691-e9b1-45b0-a751-698c469f8a7f,English,3,1,1,0.0,French,False,0.0
146a27ae-9dca-4309-9f9f-2eea5660fdfd,Canadian,3,1,1,0.0,English,False,0.0
14732080-bb8e-4327-955b-061c381d4ad1,Melbourne,0,1,1,0.0,Colchester,False,1.0
147c0536-821a-446a-973c-2dca3793de7c,"Jerome, Idaho",4,1,1,0.0,Pennsylvania,False,1.0
149c4076-ac53-4aa3-8b4d-2bd84519a099,Worcestershire,2,1,1,0.0,Antarctica,False,0.0
150e3f6c-456f-4d85-9dae-5d18ce63d2f3,accordionist,2,1,1,0.0,French,False,0.0
