fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
cf-0,French,0,1,1,1.0,French,False,0.0
cf-1007,Liverpool,2,1,1,0.0,London,False,0.0
cf-1008,Chicago,3,1,1,0.0,London,False,0.0
cf-1009,Sydney,2,1,1,0.0,Victoria,False,0.0
cf-101,jazz,3,1,1,0.0,midfielder,False,0.0
cf-1010,goaltender,3,1,1,0.0,midfielder,False,0.0
cf-1013,Antarctica,1,1,1,1.0,Antarctica,False,0.0
cf-1014,Apple,0,1,1,0.0,Microsoft,False,0.0
cf-102,Renault,1,1,1,1.0,Renault,False,1.0
cf-1020,CBS,1,1,1,1.0,CBS,False,0.0
cf-1030,India,4,1,1,0.0,Antarctica,False,1.0
cf-1038,midfielder,4,1,1,0.0,basketball,False,0.0
cf-104,Germany,0,1,1,1.0,Germany,False,1.0
cf-1043,Seattle,1,1,1,0.0,Nike,False,0.0
cf-1044,Cairo,0,1,1,0.0,Atlanta,False,1.0
cf-1048,Livingston,3,1,1,0.0,London,False,0.0
cf-1050,midfielder,0,1,1,0.0,hockey,False,0.0
cf-1054,Scotland,1,1,1,0.0,London,False,0.0
cf-1058,composer,1,1,1,0.0,actor,False,0.0
cf-1059,Microsoft,0,1,1,1.0,Microsoft,False,0.0
cf-1061,Ferrari,0,1,1,1.0,Ferrari,False,0.0
cf-1068,India,2,1,1,1.0,India,False,0.0
cf-107,midfielder,0,1,1,1.0,midfielder,False,0.0
cf-1075,bishop,1,1,1,0.0,midfielder,False,0.0
cf-1082,midfielder,4,1,1,1.0,midfielder,False,0.0
cf-1084,BMW,4,1,1,0.0,Apple,False,1.0
cf-1087,hockey,1,1,1,0.0,midfielder,False,0.0
cf-109,Russia,0,1,1,1.0,Russia,False,1.0
cf-1094,Queensland,2,1,1,0.0,Antarctica,False,0.0
cf-1095,Moscow,4,1,1,0.0,Paris,False,0.0
cf-1101,Scotland,1,1,1,0.0,Tunisia,False,0.0
cf-1103,Microsoft,3,1,1,1.0,Microsoft,False,1.0
cf-1113,IBM,3,1,1,0.0,hockey,False,0.0
cf-1116,midfielder,4,1,1,1.0,midfielder,False,0.0
cf-112,English,1,1,1,0.0,French,False,0.0
cf-1124,Jakarta,2,1,1,0.0,Helsinki,False,0.0
cf-1128,Israel,3,1,1,0.0,Jordan,False,0.0
cf-1132,French,1,1,1,1.0,French,False,1.0
cf-1133,Sony,0,1,1,0.0,Microsoft,False,0.0
cf-1139,Jerusalem,1,1,1,0.0,India,False,0.0
cf-1142,French,1,1,1,1.0,French,False,0.0
cf-1143,NBC,0,1,1,1.0,NBC,False,0.0
cf-1144,Dodge,4,1,1,1.0,Dodge,False,0.0
cf-1145,Paris,2,1,1,0.0,London,False,0.0
cf-1148,London,0,1,1,0.0,Melbourne,False,0.0
cf-115,FIFA,2,1,1,0.0,BBC,False,0.0
cf-1150,Honda,4,1,1,1.0,Honda,False,1.0
cf-1151,Denmark,4,1,1,0.0,goaltender,False,0.0
cf-1152,Paris,4,1,1,0.0,French,False,0.0
cf-1159,Greece,0,1,1,0.0,Istanbul,False,0.0
cf-1165,Sky,3,1,1,0.0,BBC,False,1.0
cf-1166,Finnish,0,1,1,0.0,French,False,0.0
cf-118,Massachusetts,4,1,1,0.0,Spain,False,0.0
cf-1182,baseball,2,1,1,0.0,goaltender,False,0.0
cf-1184,Norway,2,1,1,0.0,Antarctica,False,0.0
cf-1187,Apple,0,1,1,1.0,Apple,False,0.0
cf-1189,goaltender,1,1,1,0.0,midfielder,False,0.0
cf-119,Islam,4,1,1,1.0,Islam,False,0.0
cf-1193,Toyota,1,1,1,1.0,Toyota,False,0.0
cf-1194,Dublin,1,1,1,0.0,Sydney,False,0.0
cf-1196,French,1,1,1,1.0,French,False,0.0
cf-1204,Antarctica,1,1,1,1.0,Antarctica,False,0.0
cf-1208,trumpet,1,1,1,0.0,linebacker,False,0.0
cf-1213,Linux,1,1,1,0.0,Microsoft,False,1.0
cf-1217,Arkansas,3,1,1,0.0,Texas,False,0.0
cf-1218,India,3,1,1,1.0,India,False,0.0
cf-1222,Bihar,2,1,1,0.0,India,False,0.0
cf-1223,Nintendo,3,1,1,0.0,Microsoft,False,0.0
cf-1224,Denmark,4,1,1,0.0,Norway,False,0.0
cf-1227,Russian,2,1,1,0.0,English,False,0.0
cf-1229,actor,0,1,1,0.0,composer,False,0.0
cf-1230,goaltender,2,1,1,0.0,Apple,False,0.0
cf-1235,Dutch,0,1,1,0.0,French,False,0.0
cf-1237,Louisiana,0,1,1,0.0,basketball,False,1.0
cf-1238,French,2,1,1,1.0,French,False,0.0
cf-1241,Sweden,2,1,1,0.0,Norway,False,0.0
cf-1244,Microsoft,4,1,1,1.0,Microsoft,False,1.0
cf-1246,composer,0,1,1,0.0,Fiat,False,0.0
cf-125,Philippines,1,1,1,0.0,India,False,1.0
cf-1250,Paris,1,1,1,1.0,Paris,False,0.0
cf-1255,Toyota,4,1,1,1.0,Toyota,False,1.0
cf-1258,Norway,0,1,1,0.0,Antarctica,False,0.0
cf-126,goaltender,2,1,1,0.0,midfielder,False,0.0
cf-1262,NBC,4,1,1,0.0,CBS,False,0.0
cf-1263,Microsoft,4,1,1,1.0,Microsoft,False,0.0
cf-1267,basketball,1,1,1,0.0,midfielder,False,0.0
cf-1269,French,3,1,1,0.0,Paris,False,0.0
cf-1270,Norman,3,1,1,0.0,Boston,False,0.0
cf-1271,Ferrari,1,1,1,0.0,Fiat,False,1.0
cf-1275,Latin,0,1,1,0.0,Persian,False,0.0
cf-1277,Islam,0,1,1,1.0,Islam,False,1.0
cf-1278,French,1,1,1,1.0,French,False,0.0
cf-1281,Qatar,1,1,1,0.0,India,False,0.0
cf-1285,quarterback,2,1,1,1.0,quarterback,False,0.0
cf-1286,Cleveland,3,1,1,0.0,Honolulu,False,1.0
cf-1287,composer,3,1,1,0.0,actor,False,0.0
cf-1293,Armenia,4,1,1,0.0,Istanbul,False,0.0
cf-1294,cardinal,2,1,1,0.0,French,False,0.0
cf-1297,Antarctica,4,1,1,1.0,Antarctica,False,0.0
