fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
cf-10014,Honda,4,1,1,1.0,Honda,False,1.0
cf-10018,Berlin,1,1,1,0.0,Vienna,False,0.0
cf-10019,Google,4,1,1,1.0,Google,False,1.0
cf-10020,Microsoft,3,1,1,1.0,Microsoft,False,0.0
cf-10024,Atlanta,3,1,1,0.0,London,False,0.0
cf-10028,Antarctica,3,1,1,1.0,Antarctica,False,1.0
cf-10031,Tokyo,4,1,1,0.0,Japan,False,0.0
cf-10032,Google,3,1,1,1.0,Google,False,0.0
cf-10035,Dresden,1,1,1,0.0,German,False,0.0
cf-10038,French,2,1,1,1.0,French,False,0.0
cf-10041,English,3,1,1,0.0,German,False,0.0
cf-10059,French,4,1,1,1.0,French,False,0.0
cf-10063,bishop,3,1,1,1.0,bishop,False,0.0
cf-10067,Pittsburgh,3,1,1,0.0,London,False,0.0
cf-1007,Liverpool,2,1,1,0.0,London,False,0.0
cf-10071,French,1,1,1,1.0,French,False,0.0
cf-10073,Belgium,0,1,1,0.0,Spain,False,0.0
cf-10074,linebacker,2,1,1,0.0,goaltender,False,0.0
cf-10075,midfielder,1,1,1,1.0,midfielder,False,0.0
cf-10078,English,2,1,1,1.0,English,False,0.0
cf-1008,Chicago,1,1,1,0.0,London,False,0.0
cf-10087,Syria,0,1,1,0.0,Jerusalem,False,0.0
cf-10089,Philadelphia,4,1,1,0.0,London,False,0.0
cf-1009,Sydney,4,1,1,0.0,politician,False,0.0
cf-10090,French,4,1,1,1.0,French,False,1.0
cf-10093,Apple,0,1,1,1.0,Apple,False,0.0
cf-10099,poet,4,1,1,0.0,actor,False,0.0
cf-10106,pope,3,1,1,1.0,pope,False,1.0
cf-10110,Porsche,0,1,1,1.0,Porsche,False,1.0
cf-10117,actor,3,1,1,0.0,Japan,False,0.0
cf-10120,Alberta,4,1,1,0.0,Antarctica,False,1.0
cf-1013,Antarctica,0,1,1,1.0,Antarctica,False,0.0
cf-10133,French,4,1,1,1.0,French,False,0.0
cf-10134,English,2,1,1,1.0,English,False,0.0
