target_key,gap,gap_rho,gap_eligible
cf-10014,1.0,0.95,True
cf-10018,0.0,0.75,True
cf-10019,0.05,0.95,True
cf-10020,0.0,0.95,True
cf-10024,1.0,0.95,True
cf-10028,1.0,0.95,True
cf-10031,0.0,0.95,True
cf-10032,0.0,0.8,True
cf-10035,0.0,0.85,True
cf-10038,0.0,0.95,True
cf-10041,0.0,0.7,True
cf-10059,0.0,0.75,True
cf-10063,0.0,0.7,True
cf-10067,0.0,0.95,True
cf-1007,0.0,0.95,True
cf-10071,0.0,0.7,True
cf-10073,0.0,0.95,True
cf-10074,0.0,0.7,True
cf-10075,0.0,0.7,True
cf-10078,0.0,0.9,True
cf-1008,0.0,0.95,True
cf-10087,0.0,0.95,True
cf-10089,0.0,0.95,True
cf-1009,0.0,0.75,True
cf-10090,1.0,0.95,True
cf-10093,0.0,0.75,True
cf-10106,0.0,0.95,True
cf-10120,0.0,0.95,True
cf-1013,0.0,0.95,True
cf-10133,0.05,0.95,True
cf-10135,0.0,0.95,True
cf-10136,0.0,0.75,True
cf-1014,0.0,0.7,True
cf-10145,0.0,0.85,True
cf-10149,0.0,0.75,True
cf-10169,0.0,0.95,True
cf-10174,0.0,0.95,True
cf-10182,0.0,0.95,True
cf-10191,0.0,0.95,True
cf-10198,0.0,0.8,True
cf-102,0.0,0.75,True
cf-10201,0.0,0.8,True
cf-10211,0.0,0.75,True
cf-10227,0.0,0.85,True
cf-10229,0.0,0.95,True
cf-10242,0.0,0.7,True
cf-10243,1.0,0.95,True
cf-10256,0.0,0.95,True
cf-10257,0.0,0.7,True
cf-10259,1.0,0.95,True
cf-10261,0.0,0.8,True
cf-10266,0.0,0.7,True
cf-10272,0.0,0.9,True
cf-10273,1.0,0.95,True
cf-10278,0.0,0.8,True
cf-10284,0.0,0.95,True
cf-10287,0.05,0.95,True
cf-1030,1.0,0.95,True
cf-10304,0.0,0.75,True
cf-10305,0.0,0.9,True
cf-10326,1.0,0.95,True
cf-1033,0.0,0.95,True
cf-10339,0.0,0.7,True
cf-10344,0.0,0.7,True
cf-10345,0.0,0.7,True
cf-10347,0.0,0.95,True
cf-10357,0.0,0.95,True
cf-10369,0.0,0.95,True
cf-10371,0.0,0.7,True
cf-10373,0.0,0.7,True
cf-10388,0.0,0.85,True
cf-10393,1.0,0.95,True
cf-10395,0.0,0.95,True
cf-10396,0.0,0.95,True
cf-10399,0.0,0.95,True
cf-104,1.0,0.95,True
cf-10404,0.0,0.85,True
cf-10413,1.0,0.95,True
cf-10417,0.0,0.7,True
cf-10418,0.0,0.8,True
cf-10429,0.0,0.95,True
